popName	popUId	sampleUId	2N	locusSymbol	siteName	alleleSymbol	entryDate	frequency
Papuan New Guinean	PO000084M	SA000291M	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	10	2002-04-24	0.0
Papuan New Guinean	PO000084M	SA000291M	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2002-04-24	0.0
Papuan New Guinean	PO000084M	SA000291M	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	9	2002-04-24	0.0
Papuan New Guinean	PO000084M	SA000291M	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2002-04-24	0.09
Samoans	PO000072J	SA000290L	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2002-04-24	0.05
Samoans	PO000072J	SA000290L	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	10	2002-04-24	0.03
Samoans	PO000072J	SA000290L	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2002-04-24	0.35
Samoans	PO000072J	SA000290L	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2002-04-24	0.1
Samoans	PO000072J	SA000290L	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2002-04-24	0.02
Samoans	PO000072J	SA000290L	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2002-04-24	0.1
Samoans	PO000072J	SA000290L	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2002-04-24	0.35
Samoans	PO000072J	SA000290L	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	9	2002-04-24	0.0
Samoans	PO000072J	SA000290L	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2002-04-24	0.0
So	PO000192M	SA000282M	26	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2002-04-24	0.08
So	PO000192M	SA000282M	26	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2002-04-24	0.0
So	PO000192M	SA000282M	26	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	10	2002-04-24	0.0
So	PO000192M	SA000282M	26	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2002-04-24	0.19
So	PO000192M	SA000282M	26	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2002-04-24	0.0
So	PO000192M	SA000282M	26	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	9	2002-04-24	0.04
So	PO000192M	SA000282M	26	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2002-04-24	0.08
So	PO000192M	SA000282M	26	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2002-04-24	0.27
So	PO000192M	SA000282M	26	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2002-04-24	0.35
Thai	PO000143I	SA000279S	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2002-04-24	0.12
Thai	PO000143I	SA000279S	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2002-04-24	0.07
Thai	PO000143I	SA000279S	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2002-04-24	0.07
Thai	PO000143I	SA000279S	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2002-04-24	0.08
Thai	PO000143I	SA000279S	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	9	2002-04-24	0.0
Thai	PO000143I	SA000279S	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2002-04-24	0.28
Thai	PO000143I	SA000279S	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2002-04-24	0.37
Thai	PO000143I	SA000279S	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2002-04-24	0.02
Thai	PO000143I	SA000279S	60	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	10	2002-04-24	0.0
Thai	PO000143I	SA000280K	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2002-04-24	0.31
Thai	PO000143I	SA000280K	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	9	2002-04-24	0.0
Thai	PO000143I	SA000280K	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2002-04-24	0.07
Thai	PO000143I	SA000280K	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2002-04-24	0.02
Thai	PO000143I	SA000280K	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	10	2002-04-24	0.02
Thai	PO000143I	SA000280K	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2002-04-24	0.07
Thai	PO000143I	SA000280K	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2002-04-24	0.33
Thai	PO000143I	SA000280K	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2002-04-24	0.16
Thai	PO000143I	SA000280K	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2002-04-24	0.03
Yadava	PO000367Q	SA000869X	138	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	18	2004-03-11	0.04
Yadava	PO000367Q	SA000869X	138	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2004-03-11	0.32
Yadava	PO000367Q	SA000869X	138	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2004-03-11	0.02
Yadava	PO000367Q	SA000869X	138	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2004-03-11	0.05
Yadava	PO000367Q	SA000869X	138	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2004-03-11	0.17
Yadava	PO000367Q	SA000869X	138	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2004-03-11	0.35
Yadava	PO000367Q	SA000869X	138	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2004-03-11	0.03
Yadava	PO000367Q	SA000869X	138	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2004-03-11	0.04
Yadava	PO000367Q	SA000870P	84	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2004-03-11	0.39
Yadava	PO000367Q	SA000870P	84	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2004-03-11	0.27
Yadava	PO000367Q	SA000870P	84	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2004-03-11	0.07
Yadava	PO000367Q	SA000870P	84	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2004-03-11	0.01
Yadava	PO000367Q	SA000870P	84	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	8	2004-03-11	0.01
Yadava	PO000367Q	SA000870P	84	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2004-03-11	0.04
Yadava	PO000367Q	SA000870P	84	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2004-03-11	0.02
Yadava	PO000367Q	SA000870P	84	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2004-03-11	0.18
Yadava	PO000367Q	SA000871Q	96	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2004-03-11	0.05
Yadava	PO000367Q	SA000871Q	96	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2004-03-11	0.42
Yadava	PO000367Q	SA000871Q	96	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2004-03-11	0.12
Yadava	PO000367Q	SA000871Q	96	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	11	2004-03-11	0.02
Yadava	PO000367Q	SA000871Q	96	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2004-03-11	0.04
Yadava	PO000367Q	SA000871Q	96	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2004-03-11	0.29
Yadava	PO000367Q	SA000871Q	96	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2004-03-11	0.06
Yadava	PO000367Q	SA000872R	112	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2004-03-11	0.02
Yadava	PO000367Q	SA000872R	112	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2004-03-11	0.3
Yadava	PO000367Q	SA000872R	112	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2004-03-11	0.5
Yadava	PO000367Q	SA000872R	112	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2004-03-11	0.01
Yadava	PO000367Q	SA000872R	112	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2004-03-11	0.16
Yadava	PO000367Q	SA000872R	112	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2004-03-11	0.01
Yadava	PO000367Q	SA000873S	52	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2004-03-11	0.02
Yadava	PO000367Q	SA000873S	52	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2004-03-11	0.56
Yadava	PO000367Q	SA000873S	52	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	17	2004-03-11	0.02
Yadava	PO000367Q	SA000873S	52	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2004-03-11	0.02
Yadava	PO000367Q	SA000873S	52	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2004-03-11	0.17
Yadava	PO000367Q	SA000873S	52	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2004-03-11	0.21
Yadava	PO000367Q	SA000874T	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2004-03-11	0.17
Yadava	PO000367Q	SA000874T	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2004-03-11	0.21
Yadava	PO000367Q	SA000874T	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	13	2004-03-11	0.04
Yadava	PO000367Q	SA000874T	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	10	2004-03-11	0.04
Yadava	PO000367Q	SA000874T	58	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2004-03-11	0.55
Yadava	PO000367Q	SA000875U	20	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	12	2004-03-11	0.05
Yadava	PO000367Q	SA000875U	20	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	16	2004-03-11	0.1
Yadava	PO000367Q	SA000875U	20	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	15	2004-03-11	0.5
Yadava	PO000367Q	SA000875U	20	D20S604	D20S604 (GATA)subn/sub tetranucleotide repeat	14	2004-03-11	0.35
